Name,Entrants,Country,City,State,Date,Prize Pool,Winner,2nd,3rd,4th,5th,6th,7th,8th
Smash 'N' Splash,256,USA,Gurnee,IL,2015-06-14,2710,Mew2King,Plup,Wizzrobe,Dart!,Darkrain,Kels,Junebug,Hanky Panky
CEO 2015,483,USA,Orlando,FL,2015-06-28,7830,Leffen,Armada,Mango,Westballz,Shroomed,Hungrybox,Plup,The Moon
FC Smash 15XR: Return,213,USA,Notre Dame,IN,2015-07-05,2130,Leffen,Hungrybox,Armada,MacD,Westballz,Wizzrobe,Nintendude,4%
WTFox,150,USA,Memphis,TN,2015-07-11,3050,Leffen,Mango,Armada,Mew2King,Westballz,Wizzrobe,s0ft,Darkatma
Evo 2015,1869,USA,Las Vegas,NV,2015-07-19,18690,Armada,Hungrybox,PPMD,Plup,Mango,Leffen,ChuDat,Axe
Super Smash Con 2015,593,USA,Chantilly,VA,2015-08-09,15860,Leffen,Mew2King,Axe,Westballz,MacD,Colbol,Nintendude,Gahtzu
Heir II The Throne,369,UK,Nottingham,,2015-08-16,1548,Armada,Lucky,Tekk,Androd,Leffen,Trif,Professor Pro,Ice
PAX Prime 2015,187,USA,Seattle,WA,2015-08-30,10000,Mew2King,Leffen,Westballz,Bladewise,MacD,HugS,Fat Goku,Nintendude
Paragon Los Angeles 2015,547,USA,Ontario,CA,2015-09-06,7470,Mango,Mew2King,Hungrybox,Westballz,Axe,Leffen,Nintendude,Lucky
HTC Throwdown,386,USA,San Francisco,CA,2015-09-19,13860,Leffen,Hungrybox,Silent Wolf,DruggedFox,Colbol,Mew2King,Shroomed,SFAT
Helix,208,Germany,Berlin,,2015-09-27,2560,Armada,Westballz,Ice,Overtriforce,Trif,reaper,Daumling,Zoler
The Big House 5,1317,USA,Dearborn,MI,2015-10-04,18170,Armada,Hungrybox,Mew2King,Mango,Westballz,Shroomed,SFAT,Abate
MLG World Finals 2015,113,USA,New Orleans,LA,2015-10-18,10000,Hungrybox,Mew2King,Axe,Wizzrobe,Nintendude,DruggedFox,Prince Abu,Blea Gelo
Smash Summit,16,USA,Los Angeles,CA,2015-11-08,32930,Armada,Mango,Mew2King,Plup,Shroomed,PPMD,Axe,Lucky
Eclipse,186,Norway,Oslo,,2015-11-15,9860,Armada,Leffen,Axe,Plup,Ice,Overtriforce,Android,Flikkflakk
Dreamhack Winter 2015,354,Sweden,Jonkoping,,2015-11-29,20000,Hungrybox,Armada,Plup,Westballz,Mango,Duck,Shroomed,MacD
GENESIS 3,1828,USA,San Jose,CA,2016-01-17,23780,Armada,Mango,Hungrybox,Axe,SFAT,PPMD,Nintendude,Ice
PAX Arena,200,USA,San Antonio,TX,2016-01-31,10000,Hungrybox,Mango,Westballz,Axe,Mew2King,Wizzrobe,S2J,SFAT
B.E.A.S.T. 6,410,Sweden,Gothenburg,,2016-02-21,7430,Armada,Leffen,Westballz,Ice,Trif,Professor Pro,Amsah,Wobbles
Battle of the Five Gods,20,USA,Austin,TX,2016-03-19,25000,Hungrybox,Mango,Armada,Wobbles,Plup,Westballz,Silent Wolf,Mew2King
Pound 2016,933,USA,McLean,VA,2016-04-03,13995,Hungrybox,Mango,Hax,Swedish Delight,Laudandus,Plup,S2J,Colbol
Smash Summit 2,16,USA,Los Angeles,CA,2016-04-24,27000,Armada,Hungrybox,Mew2King,Mango,Plup,Shroomed,Axe,SFAT
Enthusiast Gaming Live Expo,256,Canada,Mississauga,ON,2016-05-01,6026,Hungrybox,Mango,Mew2King,MacD,Axe,Duck,Fork,Leffen
Dreamhack Austin 2016,398,USA,Austin,TX,2016-05-08,10000,Mango,Hungrybox,Mew2King,Wizzrobe,Lucky,SFAT,Axe,Nintendude
Get On My Level 2016,509,Canada,Toronto,ON,2016-05-22,7730,Leffen,Mango,Hungrybox,Lucky,Armada,Westballz,n0ne,Shroomed
